tournament results

{'sizes': [2, 4, 6, 8, 10], 'best_fitness_avg': [2.225, -17.825, -18.875, -20.175, -20.475]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  4 |      10 |            -20.475 |
|  3 |       8 |            -20.175 |
|  2 |       6 |            -18.875 |
|  1 |       4 |            -17.825 |
|  0 |       2 |              2.225 |


tournament results part 2

{'sizes': [7, 8, 9, 10, 11], 'best_fitness_avg': [-19.925, -20.325, -20.675, -20.65, -20.675]}

|    |   sizes |   best_fitness_avg |
|----|---------|--------------------|
|  2 |       9 |            -20.675 |
|  4 |      11 |            -20.675 |
|  3 |      10 |            -20.65  |
|  1 |       8 |            -20.325 |
|  0 |       7 |            -19.925 |


double tournament switch testing results

{'t_size': [2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 4, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6, 6], 'deaths_t_size': [2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6, 2, 2, 2, 2, 4, 4, 4, 4, 6, 6, 6, 6], 'queens_t_size': [2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6, 2, 2, 4, 6, 2, 4, 4, 6, 2, 4, 6, 6], 'switch': [True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False, True, False, True, True, False, True, False, True, False, False, True, False], 'best_fitness_avg': [908.3333333333334, 81.58333333333333, 906.6666666666666, 908.3333333333334, 523.25, 888.3333333333334, 905.0, 844.1666666666666, 681.8333333333334, 892.5, 633.5833333333334, 923.3333333333334, 906.6666666666666, -14.416666666666666, 892.5, 899.1666666666666, -7.5, 903.3333333333334, 36.833333333333336, 916.6666666666666, -3.1666666666666665, 163.75, 894.1666666666666, 532.8333333333334, 918.3333333333334, -18.916666666666668, 895.0, 909.1666666666666, -17.416666666666668, 916.6666666666666, 4.833333333333333, 904.1666666666666, -17.333333333333332, 14.25, 912.5, 31.25]}

|    |   t_size |   deaths_t_size |   queens_t_size | switch   |   best_fitness_avg |
|----|----------|-----------------|-----------------|----------|--------------------|
| 25 |        6 |               2 |               2 | False    |          -18.9167  |
| 28 |        6 |               4 |               2 | False    |          -17.4167  |
| 32 |        6 |               6 |               2 | False    |          -17.3333  |
| 13 |        4 |               2 |               2 | False    |          -14.4167  |
| 16 |        4 |               4 |               2 | False    |           -7.5     |
| 20 |        4 |               6 |               2 | False    |           -3.16667 |
| 30 |        6 |               4 |               4 | False    |            4.83333 |
| 33 |        6 |               6 |               4 | False    |           14.25    |
| 35 |        6 |               6 |               6 | False    |           31.25    |
| 18 |        4 |               4 |               4 | False    |           36.8333  |
|  1 |        2 |               2 |               2 | False    |           81.5833  |
| 21 |        4 |               6 |               4 | False    |          163.75    |
|  4 |        2 |               4 |               2 | False    |          523.25    |
| 23 |        4 |               6 |               6 | False    |          532.833   |
| 10 |        2 |               6 |               6 | True     |          633.583   |
|  8 |        2 |               6 |               2 | False    |          681.833   |
|  7 |        2 |               4 |               6 | True     |          844.167   |
|  5 |        2 |               4 |               4 | True     |          888.333   |
|  9 |        2 |               6 |               4 | False    |          892.5     |
| 14 |        4 |               2 |               4 | True     |          892.5     |
| 22 |        4 |               6 |               6 | True     |          894.167   |
| 26 |        6 |               2 |               4 | True     |          895       |
| 15 |        4 |               2 |               6 | True     |          899.167   |
| 17 |        4 |               4 |               4 | True     |          903.333   |
| 31 |        6 |               4 |               6 | True     |          904.167   |
|  6 |        2 |               4 |               4 | False    |          905       |
|  2 |        2 |               2 |               4 | True     |          906.667   |
| 12 |        4 |               2 |               2 | True     |          906.667   |
|  3 |        2 |               2 |               6 | True     |          908.333   |
|  0 |        2 |               2 |               2 | True     |          908.333   |
| 27 |        6 |               2 |               6 | True     |          909.167   |
| 34 |        6 |               6 |               6 | True     |          912.5     |
| 29 |        6 |               4 |               4 | True     |          916.667   |
| 19 |        4 |               4 |               6 | True     |          916.667   |
| 24 |        6 |               2 |               2 | True     |          918.333   |
| 11 |        2 |               6 |               6 | False    |          923.333   |


double tournament grid testing results

